,host,count
0,163.205.162.182,1
1,n00068-104afc.unity.ncsu.edu,1
2,192.188.206.175,1
3,147.162.26.105,1
4,17.127.11.223,1
5,140.174.162.221,1
6,198.110.88.84,1
7,atelier.itr.qc.ca,1
8,carolp.patch.tandem.com,1
9,research.inland.com,1
10,193.166.184.116,1
11,204.120.34.242,1
12,dutton.cmdl.noaa.gov,1
13,rickf.seanet.com,1
14,vdfcomm.vdfnet.com,1
15,ldvgpi33.ldv.e-technik.tu-muenchen.de,1
16,tenebris.rutgers.edu,1
17,144.191.11.42,1
18,inf-pc43.fbm.htw-kempten.de,1
19,conan.ids.net,1
20,obiwan.tdtech.com,1
21,204.180.143.17,1
22,n1-28-222.macip.drexel.edu,1
23,chi007.wwa.com,1
24,137.148.36.27,1
25,129.219.88.17,1
26,nu.sim.es.com,1
27,jobstgb1.bradley.edu,1
28,ip-pdx1-51.teleport.com,1
29,194.20.140.83,1
30,151.140.40.43,1
31,sw0271.extern.uni-essen.de,1
32,148.126.48.15,1
33,usr10-dialup4.chicago.mci.net,1
34,199.101.8.152,1
35,slip-1-8.afit.af.mil,1
36,p23-annex1.achilles.net,1
37,p00.mas.euronet.nl,1
38,ppp65042.chch.planet.org.nz,1
39,slip-199-186-126-58.nmcnj.ico.att.net,1
40,159.220.112.1,1
41,140.140.233.24,1
42,ix-sj30-12.ix.netcom.com,1
43,137.123.3.25,1
44,204.92.49.5,1
45,ix-ont4-05.ix.netcom.com,1
46,155.148.11.36,1
47,teclab19.student.gu.edu.au,1
48,britten.engr.utk.edu,1
49,200.255.255.72,1
50,199.3.230.33,1
51,ad18-045.compuserve.com,1
52,134.117.1.17,1
53,mcmed4.med.nyu.edu,1
54,ppp112.awod.com,1
55,199.84.226.119,1
56,129.105.129.15,1
57,134.241.27.167,1
58,202.30.45.83,1
59,shred.ugcs.caltech.edu,1
60,paris.lerc.nasa.gov,1
61,slccva.cc.slcc.edu,1
62,129.187.208.216,1
63,scotland.bus.iastate.edu,1
64,mammolo.cnuce.cnr.it,1
65,macdan.mr.net,1
66,ix-sc3-04.ix.netcom.com,1
67,sw25-235.iol.it,1
68,204.174.70.96,1
69,199.172.16.44,1
70,130.97.128.17,1
71,199.183.199.86,1
72,204.96.142.9,1
73,slip5.dal.ca,1
74,lw008.e-technik.uni-erlangen.de,1
75,dialup15.sdsmt.edu,1
76,slip168-216.sy.au.ibm.net,1
77,p112station8.ufsia.ac.be,1
78,pc41.che.und.ac.za,1
79,washington.byu.edu,1
80,mac_49_162.ferndown.ate.slb.com,1
81,dialup2.lyceum.com,1
82,wd_millard1.pnl.gov,1
83,140.140.14.120,1
84,kf-pm1-018.cdsnet.net,1
85,xpress.inforis.nnov.su,1
86,204.178.75.5,1
87,pc39-slip.ccs-stub.deakin.edu.au,1
88,client-71-155.online.apple.com,1
89,jennings.it-ncc.louisville.edu,1
90,sys7.sysops.com,1
91,ha148118.cc.nps.navy.mil,1
92,cust25.max1.atlanta.ga.ms.uu.net,1
93,192.239.239.11,1
94,slip-11-10.ots.utexas.edu,1
95,198.161.85.36,1
96,128.194.35.40,1
97,pc201.tulip5.le.ac.uk,1
98,199.35.222.172,1
99,204.31.112.44,1
100,192.50.240.3,1
101,slip-08.mother.com,1
102,aamatore.fast.net,1
103,ctang.borland.com,1
104,castor.epm.ornl.gov,1
105,204.181.169.12,1
106,ren.eecs.wsu.edu,1
107,204.91.109.38,1
108,204.30.29.4,1
109,h96-237.ccnet.com,1
110,annex-p6.qualcomm.com,1
111,zipper.med.buffalo.edu,1
112,cu-dialup-1020.cit.cornell.edu,1
113,204.95.66.21,1
114,204.214.108.203,1
115,pentium.bendnet.com,1
116,199.165.149.205,1
117,dial-in2.univalle.edu.co,1
118,202.21.149.105,1
119,tao.sosc.osshe.edu,1
120,bix-a-slip2.jhuapl.edu,1
121,enigma.corp.rockwell.com,1
122,199.227.4.21,1
123,ix-pal-il2-07.ix.netcom.com,1
124,152.52.29.18,1
125,carmac.jrc.es,1
126,193.143.77.10,1
127,52.exis.net,1
128,kosh-141b.berkeley.edu,1
129,cad184.cadvision.com,1
130,rt99-0.rotterdam.nl.net,1
131,140.127.141.145,1
132,199.166.232.110,1
133,166.104.13.87,1
134,134.164.100.136,1
135,147.197.201.76,1
136,194.47.73.14,1
137,slip-06.inno.org,1
138,ts1p15.ro.com,1
139,cust18.max1.san-diego.ca.ms.uu.net,1
140,ips116.desy.de,1
141,194.166.17.33,1
142,rocky.cc.vt.edu,1
143,cambridge.cadcentre.co.uk,1
